network_condition,tester,time_seconds,avg_load_time_ms
"(latency: 100, download: 1048576, upload: 1048576)",CacheV2LoadTester,60,5649.461538461538
"(latency: 100, download: 1048576, upload: 1048576)",CacheV2LoadTester,3600,4248.824175824176
"(latency: 100, download: 1048576, upload: 1048576)",CacheV2LoadTester,21600,5186.0
"(latency: 100, download: 1048576, upload: 1048576)",CacheV2LoadTester,86400,3800.5274725274726
"(latency: 100, download: 1048576, upload: 1048576)",CacheV2LoadTester,604800,6362.186813186813
"(latency: 100, download: 1048576, upload: 1048576)",CacheV2LoadTester,31622400,5879.395604395604
"(latency: 100, download: 1048576, upload: 1048576)",ClassicLoadTester,60,10492.76923076923
"(latency: 100, download: 1048576, upload: 1048576)",ClassicLoadTester,3600,7644.989010989011
"(latency: 100, download: 1048576, upload: 1048576)",ClassicLoadTester,21600,5946.945054945055
"(latency: 100, download: 1048576, upload: 1048576)",ClassicLoadTester,86400,11633.329670329671
"(latency: 100, download: 1048576, upload: 1048576)",ClassicLoadTester,604800,9336.692307692309
"(latency: 100, download: 1048576, upload: 1048576)",ClassicLoadTester,31622400,11727.483516483517
"(latency: 100, download: 20971520, upload: 20971520)",CacheV2LoadTester,60,13173.318681318682
"(latency: 100, download: 20971520, upload: 20971520)",CacheV2LoadTester,3600,10153.10989010989
"(latency: 100, download: 20971520, upload: 20971520)",CacheV2LoadTester,21600,13212.648351648351
"(latency: 100, download: 20971520, upload: 20971520)",CacheV2LoadTester,86400,12232.384615384615
"(latency: 100, download: 20971520, upload: 20971520)",CacheV2LoadTester,604800,14955.23076923077
"(latency: 100, download: 20971520, upload: 20971520)",CacheV2LoadTester,31622400,14533.010989010989
"(latency: 100, download: 20971520, upload: 20971520)",ClassicLoadTester,60,18537.91208791209
"(latency: 100, download: 20971520, upload: 20971520)",ClassicLoadTester,3600,19945.32967032967
"(latency: 100, download: 20971520, upload: 20971520)",ClassicLoadTester,21600,23081.362637362636
"(latency: 100, download: 20971520, upload: 20971520)",ClassicLoadTester,86400,18120.10989010989
"(latency: 100, download: 20971520, upload: 20971520)",ClassicLoadTester,604800,15555.945054945056
"(latency: 100, download: 20971520, upload: 20971520)",ClassicLoadTester,31622400,18706.637362637364
"(latency: 100, download: 62914560, upload: 62914560)",CacheV2LoadTester,60,10338.880434782608
"(latency: 100, download: 62914560, upload: 62914560)",CacheV2LoadTester,3600,8091.771739130435
"(latency: 100, download: 62914560, upload: 62914560)",CacheV2LoadTester,21600,7318.173913043478
"(latency: 100, download: 62914560, upload: 62914560)",CacheV2LoadTester,86400,7142.239130434783
"(latency: 100, download: 62914560, upload: 62914560)",CacheV2LoadTester,604800,7266.923913043478
"(latency: 100, download: 62914560, upload: 62914560)",CacheV2LoadTester,31622400,6205.369565217391
"(latency: 100, download: 62914560, upload: 62914560)",ClassicLoadTester,60,12453.184782608696
"(latency: 100, download: 62914560, upload: 62914560)",ClassicLoadTester,3600,13051.989130434782
"(latency: 100, download: 62914560, upload: 62914560)",ClassicLoadTester,21600,14906.260869565218
"(latency: 100, download: 62914560, upload: 62914560)",ClassicLoadTester,86400,11612.79347826087
"(latency: 100, download: 62914560, upload: 62914560)",ClassicLoadTester,604800,8362.239130434782
"(latency: 100, download: 62914560, upload: 62914560)",ClassicLoadTester,31622400,11641.260869565218
"(latency: 200, download: 1048576, upload: 1048576)",CacheV2LoadTester,60,5823.197802197802
"(latency: 200, download: 1048576, upload: 1048576)",CacheV2LoadTester,3600,7382.538461538462
"(latency: 200, download: 1048576, upload: 1048576)",CacheV2LoadTester,21600,4075.4395604395604
"(latency: 200, download: 1048576, upload: 1048576)",CacheV2LoadTester,86400,4127.373626373626
"(latency: 200, download: 1048576, upload: 1048576)",CacheV2LoadTester,604800,3236.78021978022
"(latency: 200, download: 1048576, upload: 1048576)",CacheV2LoadTester,31622400,3777.6703296703295
"(latency: 200, download: 1048576, upload: 1048576)",ClassicLoadTester,60,9756.131868131868
"(latency: 200, download: 1048576, upload: 1048576)",ClassicLoadTester,3600,9759.813186813188
"(latency: 200, download: 1048576, upload: 1048576)",ClassicLoadTester,21600,5951.274725274725
"(latency: 200, download: 1048576, upload: 1048576)",ClassicLoadTester,86400,8721.54945054945
"(latency: 200, download: 1048576, upload: 1048576)",ClassicLoadTester,604800,11016.89010989011
"(latency: 200, download: 1048576, upload: 1048576)",ClassicLoadTester,31622400,10792.42857142857
"(latency: 200, download: 20971520, upload: 20971520)",CacheV2LoadTester,60,14197.315217391304
"(latency: 200, download: 20971520, upload: 20971520)",CacheV2LoadTester,3600,11289.510869565218
"(latency: 200, download: 20971520, upload: 20971520)",CacheV2LoadTester,21600,18473.739130434784
"(latency: 200, download: 20971520, upload: 20971520)",CacheV2LoadTester,86400,11418.119565217392
"(latency: 200, download: 20971520, upload: 20971520)",CacheV2LoadTester,604800,10392.478260869566
"(latency: 200, download: 20971520, upload: 20971520)",CacheV2LoadTester,31622400,13741.423913043478
"(latency: 200, download: 20971520, upload: 20971520)",ClassicLoadTester,60,21752.032608695652
"(latency: 200, download: 20971520, upload: 20971520)",ClassicLoadTester,3600,23066.641304347828
"(latency: 200, download: 20971520, upload: 20971520)",ClassicLoadTester,21600,20336.75
"(latency: 200, download: 20971520, upload: 20971520)",ClassicLoadTester,86400,25111.228260869564
"(latency: 200, download: 20971520, upload: 20971520)",ClassicLoadTester,604800,18020.369565217392
"(latency: 200, download: 20971520, upload: 20971520)",ClassicLoadTester,31622400,20329.369565217392
"(latency: 200, download: 62914560, upload: 62914560)",CacheV2LoadTester,60,7569.858695652174
"(latency: 200, download: 62914560, upload: 62914560)",CacheV2LoadTester,3600,8303.815217391304
"(latency: 200, download: 62914560, upload: 62914560)",CacheV2LoadTester,21600,8768.521739130434
"(latency: 200, download: 62914560, upload: 62914560)",CacheV2LoadTester,86400,6692.326086956522
"(latency: 200, download: 62914560, upload: 62914560)",CacheV2LoadTester,604800,8174.489130434783
"(latency: 200, download: 62914560, upload: 62914560)",CacheV2LoadTester,31622400,7412.021739130435
"(latency: 200, download: 62914560, upload: 62914560)",ClassicLoadTester,60,12392.0
"(latency: 200, download: 62914560, upload: 62914560)",ClassicLoadTester,3600,14147.532608695652
"(latency: 200, download: 62914560, upload: 62914560)",ClassicLoadTester,21600,13501.95652173913
"(latency: 200, download: 62914560, upload: 62914560)",ClassicLoadTester,86400,11727.304347826086
"(latency: 200, download: 62914560, upload: 62914560)",ClassicLoadTester,604800,11865.597826086956
"(latency: 200, download: 62914560, upload: 62914560)",ClassicLoadTester,31622400,12802.021739130434
"(latency: 40, download: 1048576, upload: 1048576)",CacheV2LoadTester,60,5019.8351648351645
"(latency: 40, download: 1048576, upload: 1048576)",CacheV2LoadTester,3600,3076.6263736263736
"(latency: 40, download: 1048576, upload: 1048576)",CacheV2LoadTester,21600,3029.5714285714284
"(latency: 40, download: 1048576, upload: 1048576)",CacheV2LoadTester,86400,3395.4285714285716
"(latency: 40, download: 1048576, upload: 1048576)",CacheV2LoadTester,604800,3912.285714285714
"(latency: 40, download: 1048576, upload: 1048576)",CacheV2LoadTester,31622400,6625.0329670329675
"(latency: 40, download: 1048576, upload: 1048576)",ClassicLoadTester,60,9105.956043956045
"(latency: 40, download: 1048576, upload: 1048576)",ClassicLoadTester,3600,9853.89010989011
"(latency: 40, download: 1048576, upload: 1048576)",ClassicLoadTester,21600,8473.934065934065
"(latency: 40, download: 1048576, upload: 1048576)",ClassicLoadTester,86400,11046.0
"(latency: 40, download: 1048576, upload: 1048576)",ClassicLoadTester,604800,8836.34065934066
"(latency: 40, download: 1048576, upload: 1048576)",ClassicLoadTester,31622400,9199.0
"(latency: 40, download: 20971520, upload: 20971520)",CacheV2LoadTester,60,11397.648351648351
"(latency: 40, download: 20971520, upload: 20971520)",CacheV2LoadTester,3600,10006.868131868132
"(latency: 40, download: 20971520, upload: 20971520)",CacheV2LoadTester,21600,10426.417582417582
"(latency: 40, download: 20971520, upload: 20971520)",CacheV2LoadTester,86400,8604.65934065934
"(latency: 40, download: 20971520, upload: 20971520)",CacheV2LoadTester,604800,10312.483516483517
"(latency: 40, download: 20971520, upload: 20971520)",CacheV2LoadTester,31622400,11217.395604395604
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,60,12746.78021978022
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,3600,16659.604395604394
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,21600,19108.23076923077
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,86400,21361.725274725275
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,604800,18797.637362637364
"(latency: 40, download: 20971520, upload: 20971520)",ClassicLoadTester,31622400,15198.274725274725
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,60,7847.347826086957
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,3600,7318.29347826087
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,21600,8257.228260869566
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,86400,4994.25
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,604800,5064.5
"(latency: 40, download: 62914560, upload: 62914560)",CacheV2LoadTester,31622400,10071.04347826087
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,60,14016.641304347826
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,3600,13604.597826086956
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,21600,13013.0
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,86400,12003.239130434782
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,604800,10392.347826086956
"(latency: 40, download: 62914560, upload: 62914560)",ClassicLoadTester,31622400,10704.065217391304
